task_id,test.subset,train.subsets,test.fold,algorithm,classif.auc
EMNIST_seed1_prop0.01,balanced,all,1,cv_glmnet,0.968991941216529
EMNIST_seed1_prop0.01,unbalanced,all,1,cv_glmnet,0.976488044284654
EMNIST_seed1_prop0.01,balanced,all,2,cv_glmnet,0.968369915482838
EMNIST_seed1_prop0.01,unbalanced,all,2,cv_glmnet,0.974979272949535
EMNIST_seed1_prop0.01,balanced,all,3,cv_glmnet,0.967947282233113
EMNIST_seed1_prop0.01,unbalanced,all,3,cv_glmnet,0.974767599936155
EMNIST_seed1_prop0.01,balanced,other,1,cv_glmnet,0.90496237669081
EMNIST_seed1_prop0.01,unbalanced,other,1,cv_glmnet,0.977428162084719
EMNIST_seed1_prop0.01,balanced,other,2,cv_glmnet,0.935646722553338
EMNIST_seed1_prop0.01,unbalanced,other,2,cv_glmnet,0.974852187384639
EMNIST_seed1_prop0.01,balanced,other,3,cv_glmnet,0.914729156329363
EMNIST_seed1_prop0.01,unbalanced,other,3,cv_glmnet,0.973474195199542
EMNIST_seed1_prop0.01,balanced,same,1,cv_glmnet,0.969286830663401
EMNIST_seed1_prop0.01,unbalanced,same,1,cv_glmnet,0.922982426104639
EMNIST_seed1_prop0.01,balanced,same,2,cv_glmnet,0.968340991860542
EMNIST_seed1_prop0.01,unbalanced,same,2,cv_glmnet,0.946454615324098
EMNIST_seed1_prop0.01,balanced,same,3,cv_glmnet,0.967972617989534
EMNIST_seed1_prop0.01,unbalanced,same,3,cv_glmnet,0.931342223885608
EMNIST_seed1_prop0.01,balanced,all,1,featureless,0.5
EMNIST_seed1_prop0.01,unbalanced,all,1,featureless,0.5
EMNIST_seed1_prop0.01,balanced,all,2,featureless,0.5
EMNIST_seed1_prop0.01,unbalanced,all,2,featureless,0.5
EMNIST_seed1_prop0.01,balanced,all,3,featureless,0.5
EMNIST_seed1_prop0.01,unbalanced,all,3,featureless,0.5
EMNIST_seed1_prop0.01,balanced,other,1,featureless,0.5
